=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.20 00:11:05 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 936697
cycles to read 40000 DDR bytes: 1050599
cycles to write 40000 OCM bytes: 947731
cycles to read 40000 OCM bytes: 976392
cycles to write 40000 CACHE bytes: 24361
cycles to read 40000 CACHE bytes: 21063
cycles to write 40000 OCM bytes: 24358
cycles to read 40000 OCM bytes: 125377
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,128299671,984640,16073870,984637
HPC0,CACHE,130824816,1004129,16390876,1004125
HPC0,CACHE,133462667,1024463,16722094,1024459
HPC0,CACHE,136100562,1044798,17053288,1044796
HPC0,CACHE,138738618,1065145,17384437,1065140
HPC0,CACHE,141376352,1085504,17715550,1085500
HPC0,CACHE,144013326,1105880,18046555,1105876
HPC0,CACHE,146650632,1126264,18377584,1126260
HPC0,CACHE,149288594,1146620,18709306,1146617
HPC0,CACHE,151926198,1166980,19040988,1166974
HPC0,CACHE,154563993,1187344,19372693,1187340
HPC0,CACHE,157201941,1207700,19704386,1207696
HPC0,CACHE,159839711,1228082,20036048,1228077
HPC0,CACHE,162477588,1248437,20367759,1248434
HPC0,CACHE,165115240,1268790,20699462,1268785
HPC0,CACHE,167752994,1289143,21031212,1289139
HPC0,CACHE,170390783,1309486,21362963,1309482
HPC0,CACHE,173028657,1329842,21694682,1329838
HPC0,CACHE,175666439,1350194,22026395,1350190
HPC0,CACHE,178304573,1370532,22358176,1370528
HPC0,CACHE,180942167,1390883,22689886,1390879
HPC0,CACHE,183580224,1411238,23021625,1411234
HPC0,CACHE,186218102,1431560,23353418,1431556
HPC0,CACHE,188855594,1451926,23685119,1451922
HPC0,CACHE,191487741,1472348,24017168,1472344
HPC0,CACHE,194119540,1492752,24349269,1492747
HPC0,CACHE,196751693,1513172,24681314,1513168
HPC0,CACHE,199383964,1533590,25013375,1533585
HPC0,CACHE,202016160,1553998,25345464,1553994
HPC0,CACHE,204648125,1574422,25677490,1574417
HPC0,CACHE,207280378,1594837,26009584,1594833
HPC0,CACHE,209912221,1615252,26341622,1615248
HPC0,CACHE,212544620,1635663,26673722,1635658
HPC0,CACHE,215176933,1656068,27005832,1656063
HPC0,CACHE,217809153,1676471,27337928,1676467
HPC0,CACHE,220441078,1696884,27670006,1696880
HPC0,CACHE,223073188,1717290,28002085,1717286
HPC0,CACHE,225705547,1737705,28334169,1737700
HPC0,CACHE,228337081,1758128,28666176,1758124
HPC0,CACHE,230969423,1778536,28998274,1778533
HPC0,CACHE,233601447,1798952,29330337,1798947
HPC0,CACHE,236234302,1819361,29662443,1819358
HPC0,CACHE,238866164,1839778,29994469,1839773
HPC0,CACHE,241498417,1860179,30326609,1860176
HPC0,CACHE,244130794,1880593,30658681,1880590
HPC0,CACHE,246763121,1901001,30990797,1900998
HPC0,CACHE,249395298,1921409,31322880,1921405
HPC0,CACHE,251898218,1940816,31638659,1940813
CACHE test run cycles 39374720
Test Complete
